player,team,contract_value,years,average_annual,position,best_war,avg_war_position
Blake Snell,Giants,135000000,5,27000000,SP,5.9,2.8
Sandy Alcantara,Marlins,56000000,5,11200000,SP,6.0,2.8
Corbin Burnes,Orioles,170000000,7,24285714,SP,6.3,2.8
Mitch Keller,Pirates,77000000,6,12833333,SP,4.7,2.8
Pablo López,Twins,73500000,4,18375000,SP,5.2,2.8
Tarik Skubal,Tigers,40000000,4,10000000,SP,5.4,2.8
Yu Darvish,Padres,108000000,6,18000000,SP,5.8,2.8
Chris Bassitt,Blue Jays,63000000,3,21000000,SP,4.6,2.8
Kevin Gausman,Blue Jays,110000000,5,22000000,SP,5.5,2.8
Brandon Woodruff,Brewers,100000000,5,20000000,SP,5.2,2.8
Joe Musgrove,Padres,100000000,5,20000000,SP,4.9,2.8
Max Fried,Braves,135000000,6,22500000,SP,6.0,2.8
Tyler Glasnow,Dodgers,110000000,5,22000000,SP,5.3,2.8
Shane Bieber,Guardians,95000000,5,19000000,SP,5.1,2.8
Jesús Luzardo,Marlins,73000000,5,14600000,SP,4.6,2.8
Marcus Stroman,Yankees,37000000,2,18500000,SP,4.2,2.8
Hunter Greene,Reds,50000000,6,8333333,SP,4.5,2.8
Nick Lodolo,Reds,60000000,6,10000000,SP,4.4,2.8
Kyle Schwarber,Phillies,79000000,4,19750000,DH/LF,4.7,2.7
Eloy Jiménez,White Sox,43000000,6,7166667,DH/LF,4.2,2.7
Jorge Soler,Giants,42000000,3,14000000,DH,4.1,2.7
Josh Bell,Marlins,33000000,2,16500000,1B/DH,4.0,2.3
Christian Walker,Diamondbacks,65000000,4,16250000,1B,4.9,2.4
Nathaniel Lowe,Rangers,49000000,4,12250000,1B,4.3,2.4
Ty France,Mariners,41000000,4,10250000,1B,4.1,2.4
Ryan Mountcastle,Orioles,45000000,4,11250000,1B,4.0,2.4
Ke'Bryan Hayes,Pirates,70000000,8,8750000,3B,4.6,2.9
Eugenio Suárez,Diamondbacks,24000000,2,12000000,3B,4.1,2.9
Jeimer Candelario,Reds,45000000,3,15000000,3B,4.0,2.9
Anthony Rendon,Angels,245000000,7,35000000,3B,4.7,2.9
Andrés Giménez,Guardians,106000000,7,15142857,2B,4.6,3.0
Nico Hoerner,Cubs,35000000,3,11666667,2B,4.4,3.0
Gleyber Torres,Yankees,95000000,6,15833333,2B,4.3,3.0
Ketel Marte,Diamondbacks,76100000,5,15220000,2B,4.5,3.0
Brandon Lowe,Rays,24000000,4,6000000,2B,4.0,3.0
JP Crawford,Mariners,51000000,4,12750000,SS,4.1,3.3
Amed Rosario,Rays,18000000,2,9000000,SS,3.9,3.3
Willy Adames,Brewers,85000000,4,21250000,SS,4.4,3.3
Brandon Nimmo,Mets,162000000,8,20250000,CF,5.3,2.9
Cody Bellinger,Cubs,80000000,3,26666667,CF,5.4,2.9
Michael Harris II,Braves,72000000,8,9000000,CF,4.6,2.9
Ian Happ,Cubs,61000000,3,20333333,LF,4.2,2.6
Tyler O'Neill,Red Sox,53000000,5,10600000,LF,4.0,2.6
Bryan Reynolds,Pirates,100000000,8,12500000,LF,4.8,2.6
Lourdes Gurriel Jr.,Diamondbacks,42000000,3,14000000,LF,4.1,2.6
Harrison Bader,Mets,20000000,2,10000000,CF,3.8,2.9
Starling Marte,Mets,78000000,4,19500000,RF,4.2,2.9
Hunter Renfroe,Royals,13000000,1,13000000,RF,3.9,2.9
Max Kepler,Twins,35000000,3,11666667,RF,4.0,2.9
Alex Verdugo,Yankees,39000000,2,19500000,RF,3.8,2.9
Jorge Polanco,Mariners,70000000,4,17500000,2B,4.2,3.0
Ha-Seong Kim,Padres,28000000,4,7000000,2B/SS,4.3,3.1
Sean Murphy,Braves,73000000,6,12166667,C,4.5,2.1
Salvador Perez,Royals,82000000,4,20500000,C,4.2,2.1
William Contreras,Brewers,72000000,5,14400000,C,4.6,2.1
Tyler Stephenson,Reds,35000000,4,8750000,C,4.0,2.1
Alejandro Kirk,Blue Jays,33000000,4,8250000,C,3.9,2.1
Reese McGuire,Red Sox,9000000,2,4500000,C,3.8,2.1
Danny Jansen,Blue Jays,26000000,3,8666667,C,3.8,2.1
Jonah Heim,Rangers,49000000,5,9800000,C,4.3,2.1
